LoaiBaiViet,TGĐang,SoNguoiTC,TongLC,TongNTT,TongCXBLCS
Ảnh,21:19,53231.0,1443.0,2711.0,1725.0
Ảnh,20:42,169639.0,6351.0,8065.0,2996.0
Ảnh,19:43,370875.0,32914.0,36188.0,9999.0
Ảnh,18:33,91419.0,3865.0,5220.0,2184.0
Ảnh,18:00,139274.0,3738.0,7098.0,4548.0
Ảnh,15:55,466467.0,24196.0,34949.0,20418.0
Ảnh,21:30,77138.0,7238.0,7432.0,1217.0
Ảnh,21:01,224627.37346437346,2601.0,3827.0,2267.0
Ảnh,20:34,56695.0,1941.0,3880.0,2875.0
Ảnh,21:00,43038.0,19025.241465445462,1887.0,1153.0
Ảnh,17:38,1741439.0,74823.0,107034.0,59714.0
Ảnh,17:17,233236.0,7103.0,13271.0,9239.0
Ảnh,12:34,37226.0,2682.0,3543.0,1476.0
Ảnh,12:14,163119.0,7968.0,8610.0,2464.0
Ảnh,23:29,62385.0,2672.0,3757.0,1869.0
Ảnh,22:42,30072.0,1126.0,1562.0,6883.051666666666
Ảnh,22:10,264009.0,13284.0,16434.0,6608.0
Video,21:30,161116.0,11996.0,13366.0,2844.0
Ảnh,21:00,49555.0,1414.0,2711.0,1696.0
Ảnh,20:55,91209.0,7512.0,11762.0,7303.0
Ảnh,20:57,134424.0,10655.0,16210.0,9411.0
Ảnh,20:54,1102206.0,52442.0,55900.0,10708.0
Ảnh,10:44,74235.0,2661.0,3648.0,1860.0
Ảnh,22:34,75999.0,5359.0,6521.0,2353.0
Video,21:04,350317.0,34228.0,35351.0,5074.0
Ảnh,20:45,200475.0,11128.0,15150.0,7886.0
Ảnh,20:30,50270.0,2887.0,3589.0,1291.0
Ảnh,20:16,718861.0,142521.0,133032.0,12538.0
Video,16:19,179068.0,8364.0,10137.0,6883.051666666666
Ảnh,17:50,545934.0,27336.0,32480.0,15634.0
Ảnh,17:00,1316683.0,182477.0,183177.0,36644.0
Ảnh,16:08,703269.0,86091.0,88044.0,16734.0
Video,15:49,27176.0,1044.0,1189.0,224.0
Video,13:00,20522.0,19025.241465445462,730.0,6883.051666666666
Video,12:00,246339.0,16761.0,21214.0,6570.0
Ảnh,11:10,647765.0,60729.0,72740.0,25165.0
Ảnh,10:49,1194073.0,168006.0,177372.0,43963.0
Ảnh,00:03,335710.0,47261.0,48570.0,14135.0
Ảnh,21:24,107896.0,9166.0,10804.0,4154.0
Video,21:09,54817.0,2750.0,3131.0,594.0
Video,20:55,169458.0,17144.0,16681.0,1539.0
Video,20:31,20732.0,816.0,1140.0,485.0
Ảnh,18:29,200779.0,8447.0,15239.0,9489.0
Video,18:13,1699666.0,149643.0,160386.0,43799.0
Ảnh,17:31,801083.0,121908.0,117399.0,9216.0
Video,16:30,9112.0,201.0,253.0,6883.051666666666
Video,16:05,66627.0,4108.0,4806.0,1213.0
Ảnh,15:38,1406805.0,212302.0,192879.0,17999.0
Video,12:26,76422.0,5878.0,6378.0,1135.0
Ảnh,11:44,638125.0,53360.0,71568.0,33884.0
Ảnh,10:22,100109.0,6222.0,9872.0,5788.0
Ảnh,22:53,47086.0,1490.0,2243.0,1105.0
Ảnh,21:39,168791.0,7698.0,11866.0,6520.0
Ảnh,21:23,42010.0,3414.0,4105.0,1292.0
Video,21:06,224627.37346437346,19025.241465445462,189.0,87.0
Ảnh,20:01,100650.0,4597.0,9064.0,6594.0
Ảnh,19:00,364917.0,19329.0,23982.0,7858.0
Ảnh,18:20,224627.37346437346,5690.0,7004.0,2731.0
Video,17:33,11432.0,265.0,383.0,6883.051666666666
Video,16:39,221247.0,12000.0,18345.0,8806.0
Ảnh,12:17,81150.0,8015.0,9122.0,2691.0
Ảnh,11:33,53308.0,6078.0,7804.0,2800.0
Ảnh,09:55,316007.0,15311.0,18155.0,6847.0
Ảnh,21:00,45906.0,2971.0,3572.0,1426.0
Video,19:59,20815.0,968.0,1100.0,284.0
Ảnh,18:37,48643.0,2227.0,2648.0,1010.0
Video,11:54,22415.0,996.0,1333.0,515.0
Video,11:35,68544.0,4028.0,4827.0,1431.0
Video,08:59,8558.0,171.0,284.0,151.0
Ảnh,20:00,7787.0,72.0,310.0,257.0
Ảnh,19:30,189370.0,12320.0,13111.0,3308.0
Ảnh,19:00,800415.0,38456.0,55472.0,27149.0
Ảnh,18:22,132696.0,5802.0,8550.0,4710.0
Video,15:00,36504.0,1811.0,2609.0,1055.0
Video,12:07,19026.0,779.0,979.0,264.0
Video,11:37,18287.0,1081.0,1212.0,230.0
Ảnh,11:04,44593.0,4827.0,6650.0,3804.0
Ảnh,10:11,130221.0,5876.0,10897.0,6942.0
Video,21:58,20386.0,1433.0,1476.0,219.0
Ảnh,20:33,442763.0,24540.0,34238.0,15754.0
Ảnh,19:30,224627.37346437346,381.0,723.0,465.0
Video,18:30,176213.0,12954.0,14720.0,3305.0
Ảnh,17:59,485171.0,16446.0,20101.0,6928.0
Ảnh,17:40,174409.0,12851.0,18351.0,8824.0
Ảnh,17:00,292637.0,27119.0,31417.0,15499.0
Ảnh,16:02,49198.0,4082.0,4924.0,1544.0
Ảnh,15:23,41822.0,2902.0,4243.0,2107.0
Video,10:53,337506.0,39359.0,39073.0,4600.0
Ảnh,20:55,12625.0,280.0,518.0,311.0
Video,19:54,41875.0,1262.0,1410.0,275.0
Video,18:35,27746.0,1328.0,1573.0,344.0
Ảnh,18:00,462929.0,26240.0,40505.0,26303.0
Video,17:30,13503.0,328.0,619.0,384.0
Video,15:37,1284749.0,125528.0,129757.0,25307.0
Video,15:00,18318.0,938.0,1194.0,459.0
Ảnh,12:45,122176.0,8609.0,12984.0,6850.0
Video,12:05,2130265.0,100470.0,131760.0,53427.0
Video,11:35,104061.0,5078.0,5906.0,1390.0
Ảnh,11:00,32367.0,6998.0,7525.0,2459.0
Ảnh,22:35,32311.0,554.0,923.0,480.0
Video,21:22,224627.37346437346,103.0,142.0,53.0
Ảnh,21:00,178306.0,12188.0,13823.0,4372.0
Video,20:37,224627.37346437346,261.0,319.0,6883.051666666666
Video,20:00,63211.0,3933.0,4251.0,756.0
Video,19:30,236254.0,17133.0,18266.0,2256.0
Ảnh,19:00,501192.0,74417.0,75686.0,16045.0
Ảnh,17:39,113113.0,7678.0,8897.0,2192.0
Ảnh,16:11,20570.0,1816.0,2184.0,787.0
Ảnh,15:13,189885.0,11539.0,11619.0,1871.0
Ảnh,11:30,19071.0,864.0,1560.0,888.0
Ảnh,11:00,232097.0,19285.0,23641.0,11022.0
Ảnh,08:40,1740222.0,246213.0,234073.0,48106.0
Ảnh,22:23,58167.0,2862.0,3211.0,987.0
Ảnh,19:05,1335437.0,208763.0,204792.0,33112.0
Video,18:30,181264.0,8490.0,12851.0,5441.0
Ảnh,17:43,53598.0,4067.0,4859.0,1330.0
Ảnh,17:00,83150.0,5640.0,6751.0,2162.0
Ảnh,16:11,552421.0,93790.0,95492.0,24578.0
Ảnh,15:30,34382.0,2203.0,2616.0,704.0
Ảnh,14:50,812152.0,21746.0,46762.0,33511.0
Ảnh,13:00,49318.0,3893.0,4694.0,1649.0
Ảnh,12:53,171466.0,14963.0,19503.0,9698.0
Video,23:10,170647.0,6934.0,12817.0,6878.0
Video,22:00,55446.0,1930.0,3982.0,2623.0
Ảnh,21:30,275750.0,15838.0,26497.0,16296.0
Ảnh,21:05,38755.0,1575.0,1472.0,266.0
Video,21:00,71035.0,2535.0,5253.0,2845.0
Ảnh,20:30,100050.0,6449.0,8279.0,3596.0
Ảnh,20:00,73562.0,7166.0,7693.0,2423.0
